"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"title/title_brother_in_arms";"Brother in Arms";"Brother in Arms";"Fratello d'armi";"Waffenbruder";"Brother in arms";"Брат по оружию";"Towarzysz Broni";"Brother in arms";"Asker Arkadaşı";"Brother in arms";"Brother in arms";"Brother in Arms";"Brother in Arms";"Побратим по зброї";"Braća po oružju";"Bajtárs";"Brother in Arms";"Брат па зброі";"Brother in Arms";"Brother in Arms";"Brother in Arms";;
"title_brother_in_arms/desc";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"Все игроки War Thunder получили титул, соответствующий возрасту игрового аккаунта. 

2016 год входа и ранее";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2016 or earlier";;
"title_brother_in_arms_char/name";"Joined the game in 2016 or earlier";"Joined the game in 2016 or earlier";"Per esserti iscritto nel 2016 o prima";"Hat sich dem Spiel in oder vor 2016 angeschlossen";"Joined the game in 2016 or earlier";"2016 год входа и ранее";"Dołączył do gry w 2016 roku lub wcześniej";"Pro zapsané v roce 2016 a dříve";"Oyuna 2016 veya daha önce katıldı";"Joined the game in 2016 or earlier";"Joined the game in 2016 or earlier";"Joined the game in 2016 or earlier";"Joined the game in 2016 or earlier";"2016 рік входу і раніше";"Pridružio se igri 2016 ili ranije";"2016-ban vagy korábban csatlakoztál a játékhoz";"Joined the game in 2016 or earlier";"2016 год уваходу і раней";"Joined the game in 2016 or earlier";"Joined the game in 2016 or earlier";"Joined the game in 2016 or earlier";;
"title/title_combat_proven";"Combat Proven";"Combat Proven";"A prova di Combattimento";"Kampferprobt";"Combat proven";"Проверенный боец";"Sprawdzony w Boju";"Testováno bojem";"Muharebede Denenmiş";"Combat proven";"Combat proven";"Combat Proven";"Combat Proven";"Перевірений боєць";"Proveren u borbi";"Harcedzett";"Combat Proven";"Правераны ў баі";"Combat Proven";"Combat Proven";"Combat Proven";;
"title_combat_proven/desc";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"Все игроки War Thunder получили титул, соответствующий возрасту игрового аккаунта. 

2015 год входа и ранее";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2015 or earlier";;
"title_combat_proven_char/name";"Joined the game in 2015 or earlier";"Joined the game in 2015 or earlier";"Per esserti iscritto nel 2015 o prima";"Hat sich dem Spiel in oder vor 2015 angeschlossen";"Joined the game in 2015 or earlier";"2015 год входа и ранее";"Dołączył do gry w 2015 roku lub wcześniej";"Pro zapsané v roce 2015 a dříve";"Oyuna 2015 veya daha önce katıldı";"Joined the game in 2015 or earlier";"Joined the game in 2015 or earlier";"Joined the game in 2015 or earlier";"Joined the game in 2015 or earlier";"2015 рік входу і раніше";"Pridružio se igri 2015 ili ranije";"2015-ben vagy korábban csatlakoztál a játékhoz";"Joined the game in 2015 or earlier";"2015 год уваходу і раней";"Joined the game in 2015 or earlier";"Joined the game in 2015 or earlier";"Joined the game in 2015 or earlier";;
"title/title_faithful_warrior";"Faithful Warrior";"Faithful Warrior";"Guerriero Fedele";"Treuer Krieger";"Faithful warrior";"Верный товарищ";"Wierny Wojownik";"Věrný bojovník";"Sadık Savaşçı";"Faithful warrior";"Faithful warrior";"Faithful Warrior";"Faithful Warrior";"Вірний товариш";"Verni ratnik";"Hűséges harcos";"Faithful Warrior";"Верны таварыш";"Faithful Warrior";"Faithful Warrior";"Faithful Warrior";;
"title_faithful_warrior/desc";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"Все игроки War Thunder получили титул, соответствующий возрасту игрового аккаунта. 

2014 год входа и ранее";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2014 or earlier";;
"title_faithful_warrior_char/name";"Joined the game in 2014 or earlier";"Joined the game in 2014 or earlier";"Per esserti iscritto nel 2014 o prima";"Hat sich dem Spiel in oder vor 2014 angeschlossen";"Joined the game in 2014 or earlier";"2014 год входа и ранее";"Dołączył do gry w 2014 roku lub wcześniej";"Pro zapsané v roce 2014 a dříve";"Oyuna 2014 veya daha önce katıldı";"Joined the game in 2014 or earlier";"Joined the game in 2014 or earlier";"Joined the game in 2014 or earlier";"Joined the game in 2014 or earlier";"2014 рік входу і раніше";"Pridružio se igri 2014 ili ranije";"2014-ben vagy korábban csatlakoztál a játékhoz";"Joined the game in 2014 or earlier";"2014 год уваходу і раней";"Joined the game in 2014 or earlier";"Joined the game in 2014 or earlier";"Joined the game in 2014 or earlier";;
"title/title_the_old_guard";"The Old Guard";"The Old Guard";"La Vecchia Guardia";"Alte Garde";"The Old Guard";"Старая гвардия";"Stara Gwardia";"Stará garda";"Eski Gardiyan";"The Old Guard";"The Old Guard";"The Old Guard";"The Old Guard";"Стара гвардія";"Stari čuvar";"Vén gárdista";"The Old Guard";"Старая гвардыя";"The Old Guard";"The Old Guard";"The Old Guard";;
"title_the_old_guard/desc";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"Все игроки War Thunder получили титул, соответствующий возрасту игрового аккаунта. 

2013 год входа и ранее";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";"All War Thunder players will find a new title in their profile.

Joined the game in 2013 or earlier";;
"title_the_old_guard_char/name";"Joined the game in 2013 or earlier";"Joined the game in 2013 or earlier";"Per esserti iscritto nel 2013 o prima";"Hat sich dem Spiel in oder vor 2013 angeschlossen";"Joined the game in 2013 or earlier";"2013 год входа и ранее";"Dołączył do gry w 2013 roku lub wcześniej";"Pro zapsané v roce 2013 a dříve";"Oyuna 2013 veya daha önce katıldı";"Joined the game in 2013 or earlier";"Joined the game in 2013 or earlier";"Joined the game in 2013 or earlier";"Joined the game in 2013 or earlier";"2013 рік входу і раніше";"Pridružio se igri 2013 ili ranije";"2013-ban vagy korábban csatlakoztál a játékhoz";"Joined the game in 2013 or earlier";"2013 год уваходу і раней";"Joined the game in 2013 or earlier";"Joined the game in 2013 or earlier";"Joined the game in 2013 or earlier";;
"title/title_golden_legion";"Golden Legion";"Légion d'or";"Legione D'oro";"Goldene Legion";"Legión de oro";"Золотой Легион";"Złoty Legion";"Zlatá legie";"Altın Lejyon";"Golden Legion";"Golden Legion";"Legião de Ouro";"Golden Legion";"Золотий Легіон";"Zlatna Legija";"Arany légió";"Golden Legion";"Залаты Легіён";"Golden Legion";"Golden Legion";"Golden Legion";;
"title/title_flaming_arrow";"Flaming Arrow";"Flèche ardente";"Freccia Infuocata";"Flammender Pfeil";"llameante Flecha";"Огненная стрела";"Płonąca Strzała";"Planoucí šíp";"Kızgın Ok";"Flaming Arrow";"Flaming Arrow";"Seta Flamejante";"Flaming Arrow";"Вогняна стріла";"Plamena strela";"Lángoló nyíl";"Flaming Arrow";"Вогненная страла";"Flaming Arrow";"Flaming Arrow";"Flaming Arrow";;
"title/title_panfilov";"Panfilov's Guardsman";"Panfilov's Guardsman";"Guardia di Panfilov";"Panfilov-Gardist";"Panfilov's guardsman";"Панфиловец";"Panfiłowiec";"Panfilovi strážci";"Panfilov'un mufafızları";"Panfilov's guardsman";"Panfilov's guardsman";"Panfilov's Guardsman";"Panfilov's Guardsman";"Панфіловец";"Panfilovljev čuvar";"Panfilov gárdistája";"Panfilov's Guardsman";"Панфілавец";"Panfilov's Guardsman";"Panfilov's Guardsman";"Panfilov's Guardsman";;
"title/title_soviet_tanker";"Soviet Tank Expert";"Chef de char soviétique";"Esperto di carri Sovietici";"Sowjetischer Panzerexperte";"Experto en tanques soviéticos";"Знаток советских танков";"Mistrz czołgów rosyjskich";"Sovětský tankový expert";"Sovyet Tankları Uzmanı";"Soviet tanks expert";"Soviet tanks expert";"Perito de Tanques Soviéticos";"Soviet Tank Expert";"Знавець радянських танків";"Ekspert Sovjetskih tenkova";"Szovjetharckocsi-szakértő";"Soviet Tank Expert";"Знаўца савецкіх танкаў";"Soviet Tank Expert";"Soviet Tank Expert";"Soviet Tank Expert";;
"title/title_german_tanker";"German Tank Expert";"Chef de char allemand";"Esperto di carri Tedeschi";"Deutscher Panzerexperte";"Experto en tanques alemanes";"Знаток немецких танков";"Mistrz czołgów niemieckich";"Německý tankový expert";"Alman Tankları Uzmanı";"German tanks expert";"German tanks expert";"Perito de Tanques Alemães";"German Tank Expert";"Знавець німецьких танків";"Ekspert Nemačkih tenkova";"Németharckocsi-szakértő";"German Tank Expert";"Знаўца нямецкіх танкаў";"German Tank Expert";"German Tank Expert";"German Tank Expert";;
"title/title_american_tanker";"American Tanks Expert";"Chef de char américain";"Esperto di carri Americani";"Amerikanischer Panzerexperte";"Experto en tanques americanos";"Знаток американских танков";"Mistrz czołgów amerykańskich";"Americký tankový expert";"Amerikan Tankları Uzmanı";"American tanks expert";"American tanks expert";"Perito de Tanques Americanos";"American Tanks Expert";"Знавець американських танків";"Ekspert Američkih tenkova";"Amerikaiharckocsi-szakértő";"American Tanks Expert";"Знаўца амерыканскіх танкаў";"American Tanks Expert";"American Tanks Expert";"American Tanks Expert";;
"title/title_british_tanker";"British Tank Expert";"Chef de char britannique";"Esperto di carri Britannici";"Britischer Panzerexperte";"Experto en tanques británicos";"Знаток британских танков";"Mistrz czołgów brytyjskich";"Britský tankový expert";"Britanya Tankları Uzmanı";"British tanks expert";"British tanks expert";"Perito de Tanques Britãnicos";"British Tank Expert";"Знавець британських танків";"Ekspert Britanskih tenkova";"Britharckocsi-szakértő";"British Tank Expert";"Знаўца брытанскіх танкаў";"British Tank Expert";"British Tank Expert";"British Tank Expert";;
"title/title_japanese_tanker";"Japanese Tank Expert";"Chef de char japonais";"Esperto di carri Giapponesi";"Japanischer Panzerexperte";"Experto en tanques japoneses";"Знаток японских танков";"Mistrz czołgów japońskich";"Japonský tankový expert";"Japon Tankları Uzmanı";"Japanese tanks expert";"Japanese tanks expert";"Perito de Tanques Japoneses";"Japanese Tank Expert";"Знавець японських танків";"Ekspert Japanskih tenkova";"Japánharckocsi-szakértő";"Japanese Tank Expert";"Знаўца японскіх танкаў";"Japanese Tank Expert";"Japanese Tank Expert";"Japanese Tank Expert";;
"title/title_soviet_hammer";"Soviet Hammer";"Soviet Hammer";"Martello Sovietico";"Soviet Hammer";"Soviet Hammer";"Советский молот";"Radziecki Młot";"Sovětské kladivo";"Sovyet Çekici";"慈\t父\t之\t锤";"Soviet Hammer";"Soviet Hammer";"Soviet Hammer";"Радянський молот";"Sovjetski Čekić";"Szovjet kalapács";"Soviet Hammer";"Савецкі молат";"Soviet Hammer";"Soviet Hammer";"Soviet Hammer";;
"title/title_youtube_cup_champion";"YouTube Cup Champion";"YouTube Cup Champion";"Campione Coppa YouTube";"YouTube Cup Champion";"YouTube Cup Champion";"Чемпион YouTube Cup";"Triumfator Pucharu YouTube";"Vítěz poháru YouTube";"YouTube Kupası Şampiyonu";"YouTube Cup Champion";"YouTube Cup Champion";"YouTube Cup Champion";"YouTube Cup Champion";"Чемпіон YouTube Cup";"Šampion YouTube kupa";"YouTube Kupa-bajnok";"YouTube Cup Champion";"Чэмпіён YouTube Cup";"YouTube Cup Champion";"YouTube Cup Champion";"YouTube Cup Champion";;
