"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"missions/spawn_05";"Spawn point #5";"Point de réapparition #5";"Punto di rigenerazione #5";"Einstiegspunkt #5";"Punto de reaparición #5";"Точка появления №5";"Punkt odradzania #5";"oblast #5";"Türeme noktası #5";"五\t号\t出\t生\t点";"スポーンポイント #5";"Ponto de partida #5";"Spawn point #5";"Точка появи №5";"Startna tačka #5";"Belépőpont 5";"5번 부활 지점";"Зыходны пункт №5";"Intrarea 5";"出生点 #5";"出\t生\t点\t #5";;
"missions/spawn_06";"Spawn point #6";"Point de réapparition #6";"Punto di rigenerazione #6";"Einstiegspunkt #6";"Punto de reaparición #6";"Точка появления №6";"Punkt odradzania #6";"oblast #6";"Türeme noktası #6";"六\t号\t出\t生\t点";"スポーンポイント #6";"Ponto de partida #6";"Spawn point #6";"Точка появи №6";"Startna tačka #6";"Belépőpont 6";"6번 부활 지점";"Зыходны пункт №6";"Intrarea 6";"出生点 #6";"出\t生\t点\t #6";;
"missions/spawn_destroyers_01";"Light fleet #1";"Point d'apparition flotte légère #1";"Naviglio Sottile #1";"Leichte Flotte #1";"Flota ligera #1";"Малый флот №1";"Punkt odradzania małej floty #1";"oblast #1 - malé lodě";"Light fleet #1";"一\t号\t小\t型\t舰\t船\t出\t生\t点";"Light fleet #1";"Esquadra Leve #1";"Light fleet #1";"Легкий флот №1";"Light fleet #1";"Light fleet #1";"소형 함대 #1";"Light fleet #1";"Intrare bărci 1";"Light fleet #1";"Small fleet spawn point #1";;
"missions/spawn_destroyers_02";"Light fleet #2";"Point d'apparition destroyers #2";"Naviglio Sottile #2";"Leichte Flotte #2";"Flota ligera #2";"Малый флот №2";"Punkt odradzania małej floty #2";"oblast #2 - malé lodě";"Light fleet #2";"二\t号\t小\t型\t舰\t船\t出\t生\t点";"Light fleet #2";"Esquadra Leve #2";"Light fleet #2";"Легкий флот №2";"Light fleet #2";"Light fleet #2";"소형 함대 #2";"Light fleet #2";"Intrare bărci 2";"Light fleet #2";"Small fleet spawn point #2";;
"missions/spawn_destroyers_03";"Light fleet #3";"Point d'apparition destroyers #3";"Flotta Leggera #3";"Light fleet #3";"Flota ligera #3";"Малый флот №3";"Lekka flota #3";"Lehká flotila #3";"Light fleet #3";"三\t号\t小\t型\t舰\t船\t出\t生\t点";"Light fleet #3";"Light fleet #3";"Light fleet #3";"Малий флот №3";"Light fleet #3";"Light fleet #3";"소형 함대 #3";"Light fleet #3";"Intrare bărci 3";"Light fleet #3";"Light fleet #3";;
"missions/spawn_destroyers_04";"Light fleet #4";"Point d'apparition destroyers #4";"Flotta Leggera #4";"Light fleet #4";"Flota ligera #4";"Малый флот №4";"Lekka flota #4";"Lehká flotila #4";"Light fleet #4";"四\t号\t小\t型\t舰\t船\t出\t生\t点";"Light fleet #4";"Light fleet #4";"Light fleet #4";"Малий флот №4";"Light fleet #4";"Light fleet #4";"소형 함대 #4";"Light fleet #4";"Intrare bărci 4";"Light fleet #4";"Light fleet #4";;
"missions/spawn_cruisers_01";"Heavy fleet #1";"Point d'apparition croiseurs #1";"Flotta Principale #1";"Schwere Flotte #1";"Flota pesada #1";"Большой флот №1";"Punkt odradzania dużej floty #1";"oblast #1 - velké lodě";"Heavy fleet #1";"一\t号\t大\t型\t舰\t船\t出\t生\t点";"Heavy fleet #1";"Esquadra Pesada #1";"Heavy fleet #1";"Важкий флот №1";"Heavy fleet #1";"Heavy fleet #1";"대형 함대 #1";"Heavy fleet #1";"Intrare nave mari 1";"重裝艦隊 #1";"Big fleet spawn point #1";;
"missions/spawn_cruisers_02";"Heavy fleet #2";"Point d'apparition croiseurs #2";"Flotta Principale #2";"Schwere Flotte #2";"Flota pesada #2";"Большой флот №2";"Punkt odradzania dużej floty #2";"oblast #2 - velké lodě";"Heavy fleet #2";"二\t号\t大\t型\t舰\t船\t出\t生\t点";"Heavy fleet #2";"Esquadra Pesada #2";"Heavy fleet #2";"Важкий флот №2";"Heavy fleet #2";"Heavy fleet #2";"대형 함대 #2";"Heavy fleet #2";"Intrare nave mari 2";"重裝艦隊 #2";"Big fleet spawn point #2";;
"missions/spawn_cruisers_03";"Heavy fleet #3";"Point d'apparition croiseurs #3";"Flotta Principale #3";"Heavy fleet #3";"Flota pesada #3";"Большой флот №3";"Heavy fleet #3";"Těžká flotila #3";"Heavy fleet #3";"三\t号\t大\t型\t舰\t船\t出\t生\t点";"Heavy fleet #3";"Heavy fleet #3";"Heavy fleet #3";"Важкий флот №3";"Heavy fleet #3";"Heavy fleet #3";"대형 함대 #3";"Heavy fleet #3";"Heavy fleet #3";"重裝艦隊 #3";"Heavy fleet #3";;
"missions/carriers_spawn";"Carrier fleet";"Groupe aéronaval";"Portaerei";"Flugzeugträgerflotte";"Flota de portaaviones";"Авианосный флот";"Flota lotniskowców";"Flotila letadlových lodí";"Uçak gemisi filosu";"航\t母\t舰\t队";"空母艦隊";"Porta-aviões";"Carrier fleet";"Авіаносний флот";"Flota nosača aviona";"Repülőgép-hordozó flotta";"항공모함 함대";"Авіяносны флот";"Flotă portavioane";"航母舰队";"航\t母\t舰\t队";;
"missions/random_airfield_spawn";"Random airfield";"Aérodrome aléatoire";"Aeroporto casuale";"Zufälliges Flugfeld";"Aeródromo aleatorio";"Случайный аэродром";"Losowe lotnisko";"náhodné letiště";"Random airfield";"机\t场\t（\t随\t机\t选\t择\t）";"Random airfield";"Aeródromo aleatório";"Random airfield";"Випадковий аеродром";"Random airfield";"Random airfield";"무작위 비행장";"Random airfield";"Aerodrom aleator";"Random airfield";"Random airfield";;
"missions/airfield_spawn";"Airfield";"Aérodrome";"Aeroporto";"Flugfeld";"Aeródromo";"Аэродром";"Lotnisko";"Letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"Repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"missions/airfield_spawn1";"Airfield 1";"Aérodrome 1";"Aeroporto 1";"Flugfeld #1";"Aeródromo 1";"Аэродром 1";"Lotnisko 1";"Letiště #1";"Havaalanı 1";"一\t号\t机\t场";"飛行場 1";"Aeródromo 1";"Airfield 1";"Аеродром 1";"Aerodrom 1";"Repülőtér 1";"비행장 1";"Аэрадром 1";"Aerodrom 1";"一號機場";"一\t号\t机\t场";;
"missions/airfield_spawn2";"Airfield 2";"Aérodrome 2";"Aeroporto 2";"Flugfeld #2";"Aeródromo 2";"Аэродром 2";"Lotnisko 2";"Letiště #2";"Havaalanı 2";"二\t号\t机\t场";"飛行場 2";"Aeródromo 2";"Airfield 2";"Аеродром 2";"Aerodrom 2";"Repülőtér 2";"비행장 2";"Аэрадром 2";"Aerodrom 2";"二號機場";"二\t号\t机\t场";;
"missions/airfield_spawn3";"Airfield 3";"Aérodrome 3";"Aeroporto 3";"Flugfeld #3";"Aeródromo 3";"Аэродром 3";"Lotnisko 3";"Letiště #3";"Havaalanı 3";"三\t号\t机\t场";"飛行場 3";"Aeródromo 3";"Airfield 3";"Аеродром 3";"Aerodrom 3";"Repülőtér 3";"비행장 3";"Аэрадром 3";"Aerodrom 3";"三號機場";"三\t号\t机\t场";;
"missions/airfield_spawn4";"Airfield 4";"Aérodrome 4";"Aeroporto 4";"Flugfeld #4";"Aeródromo 4";"Аэродром 4";"Lotnisko 4";"Letiště #4";"Havaalanı 4";"四\t号\t机\t场";"飛行場 4";"Aeródromo 4";"Airfield 4";"Аеродром 4";"Aerodrom 4";"Repülőtér 4";"비행장 4";"Аэрадром 4";"Aerodrom 4";"四號機場";"四\t号\t机\t场";;
"missions/airfield_spawn5";"Airfield 5";"Aérodrome 5";"Aeroporto 5";"Airfield 5";"Aeródromo 5";"Аэродром 5";"Lotnisko 5";"Airfield 5";"Airfield 5";"五\t号\t机\t场";"Airfield 5";"Airfield 5";"Airfield 5";"Аеродром 5";"Airfield 5";"Airfield 5";"비행장 5";"Airfield 5";"Aerodrom 5";"Airfield 5";"Airfield 5";;
"missions/airfield_spawn6";"Airfield 6";"Aérodrome 6";"Aeroporto 6";"Airfield 6";"Aeródromo 6";"Аэродром 6";"Lotnisko 6";"Airfield 6";"Airfield 6";"六\t号\t机\t场";"Airfield 6";"Airfield 6";"Airfield 6";"Аеродром 6";"Airfield 6";"Airfield 6";"비행장 6";"Airfield 6";"Aerodrom 6";"Airfield 6";"Airfield 6";;
"missions/helipad_spawn_random";"Random Helipad";"Héliport aléatoire";"Eliporto Casuale";"Zufällige Hubschrauberlandeplatz";"Helipuerto aleatorio";"Случайная площадка";"Losowe lądowisko";"Random Helipad";"Random Helipad";"停\t机\t坪\t（\t随\t机\t选\t择\t）";"Random Helipad";"Random Helipad";"Random Helipad";"Випадковий майданчик";"Random Helipad";"Random Helipad";"무작위 헬리패드 ";"Random Helipad";"Heliport aleator";"Random Helipad";"Random Helipad";;
"missions/helipad_spawn";"Helipad";"Héliport";"Eliporto";"Hubschrauberlandeplatz";"Helipuerto";"Вертолётная площадка";"Lądowisko";"Helipad";"Helipad";"停\t机\t坪";"Helipad";"Heliporto";"Helipad";"Вертолітний майданчик";"Helipad";"Helipad";"헬리패드";"Helipad";"Heliport";"Helipad";"直\t升\t机\t机\t场";;
"missions/helipad_spawn1";"Helipad 1";"Héliport 1";"Eliporto 1";"Hubschrauberlandeplatz 1";"Helipuerto 1";"Вертолётная площадка 1";"Lądowisko 1";"Helipad 1";"Helipad 1";"一\t号\t停\t机\t坪";"Helipad 1";"Helipad 1";"Helipad 1";"Гелікоптерний майданчик 1";"Helipad 1";"Helipad 1";"헬리패드 1";"Helipad 1";"Heliport 1";"Helipad 1";"Helipad 1";;
"missions/helipad_spawn2";"Helipad 2";"Héliport 2";"Eliporto 2";"Hubschrauberlandeplatz 2";"Helipuerto 2";"Вертолётная площадка 2";"Lądowisko 2";"Helipad 2";"Helipad 2";"二\t号\t停\t机\t坪";"Helipad 2";"Helipad 2";"Helipad 2";"Гелікоптерний майданчик 2";"Helipad 2";"Helipad 2";"헬리패드 2";"Helipad 2";"Heliport 2";"Helipad 2";"Helipad 2";;
"missions/helipad_spawn3";"Helipad 3";"Héliport 3";"Eliporto 3";"Hubschrauberlandeplatz 3";"Helipuerto 3";"Вертолётная площадка 3";"Lądowisko 3";"Helipad 3";"Helipad 3";"三\t号\t停\t机\t坪";"Helipad 3";"Helipad 3";"Helipad 3";"Гелікоптерний майданчик 3";"Helipad 3";"Helipad 3";"헬리패드 3";"Helipad 3";"Heliport 3";"Helipad 3";"Helipad 3";;
"missions/helipad_spawn4";"Helipad 4";"Héliport 4";"Eliporto 4";"Hubschrauberlandeplatz 4";"Helipuerto 4";"Вертолётная площадка 4";"Lądowisko 4";"Helipad 4";"Helipad 4";"四\t号\t停\t机\t坪";"Helipad 4";"Helipad 4";"Helipad 4";"Гелікоптерний майданчик 4";"Helipad 4";"Helipad 4";"헬리패드 4";"Helipad 4";"Heliport 4";"Helipad 4";"Helipad 4";;
"missions/helipad_spawn5";"Helipad 5";"Héliport 5";"Eliporto 5";"Hubschrauberlandeplatz 5";"Helipuerto 5";"Вертолётная площадка 5";"Lądowisko 5";"Helipad 5";"Helipad 5";"五\t号\t停\t机\t坪";"Helipad 5";"Helipad 5";"Helipad 5";"Гелікоптерний майданчик 5";"Helipad 5";"Helipad 5";"헬리패드 5";"Helipad 5";"Heliport 5";"Helipad 5";"Helipad 5";;
"missions/helipad_spawn6";"Helipad 6";"Héliport 6";"Eliporto 6";"Hubschrauberlandeplatz 6";"Helipuerto 6";"Вертолётная площадка 6";"Lądowisko 6";"Helipad 6";"Helipad 6";"六\t号\t停\t机\t坪";"Helipad 6";"Helipad 6";"Helipad 6";"Гелікоптерний майданчик 6";"Helipad 6";"Helipad 6";"헬리패드 6";"Helipad 6";"Heliport 6";"Helipad 6";"Helipad 6";;
"missions/helipad_spawn7";"Helipad 7";"Héliport 7";"Eliporto 7";"Hubschrauberlandeplatz 7";"Helipuerto 7";"Вертолётная площадка 7";"Lądowisko 7";"Helipad 7";"Helipad 7";"七\t号\t停\t机\t坪";"Helipad 7";"Helipad 7";"Helipad 7";"Гелікоптерний майданчик 7";"Helipad 7";"Helipad 7";"헬리패드 7";"Helipad 7";"Heliport 7";"Helipad 7";"Helipad 7";;
"missions/helipad_spawn8";"Helipad 8";"Héliport 8";"Eliporto 8";"Hubschrauberlandeplatz 8";"Helipuerto 8";"Вертолётная площадка 8";"Lądowisko 8";"Helipad 8";"Helipad 8";"八\t号\t停\t机\t坪";"Helipad 8";"Helipad 8";"Helipad 8";"Гелікоптерний майданчик 8";"Helipad 8";"Helipad 8";"헬리패드 8";"Helipad 8";"Heliport 8";"Helipad 8";"Helipad 8";;
"missions/helipad_spawn9";"Helipad 9";"Héliport 9";"Eliporto 9";"Hubschrauberlandeplatz 9";"Helipuerto 9";"Вертолётная площадка 9";"Lądowisko 9";"Helipad 9";"Helipad 9";"九\t号\t停\t机\t坪";"Helipad 9";"Helipad 9";"Helipad 9";"Гелікоптерний майданчик 9";"Helipad 9";"Helipad 9";"헬리패드 9";"Helipad 9";"Heliport 9";"Helipad 9";"Helipad 9";;
"missions/helipad_spawn10";"Helipad 10";"Héliport 10";"Eliporto 10";"Hubschrauberlandeplatz 10";"Helipuerto 10";"Вертолётная площадка 10";"Lądowisko 10";"Helipad 10";"Helipad 10";"十\t号\t停\t机\t坪";"Helipad 10";"Helipad 10";"Helipad 10";"Гелікоптерний майданчик 10";"Helipad 10";"Helipad 10";"헬리패드 10";"Helipad 10";"Heliport 10";"Helipad 10";"Helipad 10";;
"missions/helipad_spawn11";"Helipad 11";"Héliport 11";"Eliporto 11";"Hubschrauberlandeplatz 11";"Helipuerto 11";"Вертолётная площадка 11";"Lądowisko 11";"Helipad 11";"Helipad 11";"十\t一\t号\t停\t机\t坪";"Helipad 11";"Helipad 11";"Helipad 11";"Гелікоптерний майданчик 11";"Helipad 11";"Helipad 11";"헬리패드 11";"Helipad 11";"Heliport 11";"Helipad 11";"Helipad 11";;
"missions/helipad_spawn12";"Helipad 12";"Héliport 12";"Eliporto 12";"Hubschrauberlandeplatz 12";"Helipuerto 12";"Вертолётная площадка 12";"Lądowisko 12";"Helipad 12";"Helipad 12";"十\t二\t号\t停\t机\t坪";"Helipad 12";"Helipad 12";"Helipad 12";"Гелікоптерний майданчик 12";"Helipad 12";"Helipad 12";"헬리패드 12";"Helipad 12";"Heliport 12";"Helipad 12";"Helipad 12";;
"missions/ground_spawn_north";"Northern point";"Point d'apparition Nord";"Punto Settentrionale";"Nördlicher Einstiegspunkt";"Punto de aparición norte";"Северная точка";"Baza północna";"severní oblast";"Kuzey noktası";"北\t部\t出\t生\t点";"北\tスポーンポイント";"Ponto Norte";"Northern point";"Північна точка";"Severna tačka";"Északi pont";"북쪽 지점";"Паўночны пункт";"Punct nordic";"北部出生点";"北\t部\t出\t生\t点";;
"missions/ground_spawn_south";"Southern point";"Point d'apparition Sud";"Punto Meridionale";"Südlicher Einstiegspunkt";"Punto de aparición sur";"Южная точка";"Baza południowa";"jižní oblast";"Güney noktası";"南\t部\t出\t生\t点";"南\tスポーンポイント";"Ponto Sul";"Southern point";"Південна точка";"Južna tačka";"Déli pont";"남쪽 지점";"Паўднёвы пункт";"Punct sudic";"南部出生点";"南\t部\t出\t生\t点";;
"missions/ground_spawn_east";"Eastern point";"Point d'apparition Est";"Punto Orientale";"Östlicher Einstiegspunkt";"Punto de aparición este";"Восточная точка";"Baza wschodnia";"východní oblast";"Doğu noktası";"东\t部\t出\t生\t点";"東\tスポーンポイント";"Ponto Oriental";"Eastern point";"Східна точка";"Istočna tačka";"Keleti pont";"동쪽 지점";"Усходні пункт";"Punct estic";"东部出生点";"东\t部\t出\t生\t点";;
"missions/ground_spawn_west";"Western point";"Point d'apparition Ouest";"Punto Occidentale";"Westlicher Einstiegspunkt";"Punto de aparición oeste";"Западная точка";"Baza zachodnia";"západní oblast";"Batı noktası";"西\t部\t出\t生\t点";"西\tスポーンポイント";"Ponto Ocidental";"Western point";"Західна точка";"Zapadna tačka";"Nyugati pont";"서쪽 지점";"Заходні пункт";"Punct vestic";"西部出生点";"西\t部\t出\t生\t点";;
"missions/empty_spawn";;;;;;;;;;;;;;;;;;;;;;;
"missions/fighters_spawn";"Fighters";"Chasseurs";"Caccia";"Einstiegspunkt (Jäger)";"Punto de aparición de cazas";"Истребители";"Punkt odradzania myśliwców";"Stíhače";"Avcı Uçakları";"战\t斗\t机\t重\t生\t点";"戦闘機の\tスポーンポイント";"Caças";"Fighters";"Винищувачі";"Lovci";"Vadászrepülők";"전투기";"Знішчальнікі";"Avioane de vânătoare";"戰鬥機出生點";"战\t斗\t机\t重\t生\t点";;
"missions/assaults_spawn";"Attackers";"Avions d'attaque";"Assaltatori";"Einstiegspunkt (Schlachtflugzeuge)";"Aviones de ataque";"Штурмовики";"Samoloty szturmowe";"Bitevníky";"Taarruz Uçakları";"攻\t击\t机\t重\t生\t点";"攻撃機の\tスポーンポイント";"Aviões de Ataque";"Attackers";"Штурмовики";"Jurišnici";"Csatarepülők";"공격기";"Штурмавікі";"Avioane de atac";"攻击机重生点";"攻\t击\t机\t重\t生\t点";;
"missions/bombers_spawn";"Bombers";"Bombardiers";"Bombardieri";"Einstiegspunkt (Bomber)";"Punto de aparición de bombarderos";"Бомбардировщики";"Punkt odradzania bombowców";"Bombardéry";"Bombardıman uçakları";"轰\t炸\t机\t出\t生\t点";"爆撃機の\tスポーンポイント";"Bombardeiros";"Bombers";"Бомбардувальники";"Bombarderi";"Bombázók";"폭격기";"Бамбардзіроўшчыкі";"Bombardiere";"轟炸機出生點";"轰\t炸\t机\t出\t生\t点";;
"missions/low_spawn";"Low point";"Point de réapparition bas";"Punto Basso";"Niedriger Einstiegspunkt";"Punto de reaparición bajo";"Низкая точка";"Niski punkt odradzania";"nízká oblast";"Alt nokta";"低\t空\t出\t生\t点";"低高度\tスポーンポイント";"Ponto de baixo";"Low point";"Низька точка";"Niska tačka";"Alacsony pont";"저고도 지점";"Нізкі зыходны пункт";"Zonă intrare inferioară";"低空出生點";"低\t空\t出\t生\t点";;
"missions/high_spawn";"High point";"Point de réapparition haut";"Punto Alto";"Hoher Einstiegspunkt";"Punto de reaparición alto";"Высокая точка";"Wysoki punkt odradzania";"vysoká oblast";"Üst nokta";"高\t空\t出\t生\t点";"高高度\tスポーンポイント";"Ponto elevado";"High point";"Висока точка";"Visoka tačka";"Magas pont";"고고도 지점";"Высокі зыходны пункт";"Zonă intrare superioară";"高空出生點";"高\t空\t出\t生\t点";;
"missions/far_airfield_spawn";"Far airfield";"Aérodrome lointain";"Aeroporto lontano";"Entferntes Flugfeld";"Aeródromo lejano";"Дальний аэродром";"Cofnięte lotnisko";"Vzdálené letiště";"Uzak Havaalanı";"远\t端\t机\t场";"遠方の\t飛行場";"Aeródromo longínquo";"Far airfield";"Дальній аеродром";"Daleki aerodrom";"Távoli repülőtér";"후방 비행장";"Далёкі аэрадром";"Aerodrom îndepărtat";"远端机场";"远\t端\t机\t场";;
"missions/middle_airfield_spawn1";"Airfield 1";"Aérodrome 1";"Aeroporto 1";"Flugfeld #1";"Aeródromo 1";"Аэродром 1";"Lotnisko 1";"Letiště #1";"Havaalanı 1";"一\t号\t机\t场";"飛行場\t1";"Aeródromo 1";"Airfield 1";"Аеродром 1";"Aerodrom 1";"Repülőtér 1";"비행장 1";"Аэрадром 1";"Aerodrom 1";"一号机场";"一\t号\t机\t场";;
