"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"fr_military_medal/name";"Military Medal";"Médaille militaire";"Medaglia Militare";"Military Medal";"Military Medal";"Военная Медаль";"Medal Wojskowy";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Військова Медаль";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Medalia militară";"Military Medal";"Military Medal";;
"fr_military_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_middle_east_medal/name";"Middle East operations commemorative medal";"Médaille commémorative des opérations du Moyen-Orient";"Medaglia commemorativa operazioni in Medio Oriente";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Медаль за военные операции на Ближнем Востоке";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Медаль за військові операції на Близькому Сході";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"Medalia comemorativă a operațiunilor din Extremul Orient";"Middle East operations commemorative medal";"Middle East operations commemorative medal";;
"fr_middle_east_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_merit_order_officer/name";"National Order of Merit (Officer)";"Ordre national du Mérite (Officier)";"Ordine Nazionale al Merito (Ufficiale)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"Орден ""За заслуги"" (Офицер)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"Орден ""За заслуги"" (Офіцер)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"Ordinul național de merit (Ofițer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";;
"fr_merit_order_officer/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_merit_order_commander/name";"National Order of Merit (Commander)";"Ordre national du Mérite (Commandeur)";"Ordine Nazionale al Merito (Comandante)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"Орден ""За заслуги"" (Командор)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"Орден ""За заслуги"" (Командор)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"Ordinul național de merit (Comandant)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";;
"fr_merit_order_commander/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_merit_order_cavalier/name";"National Order of Merit (Cavalier)";"Ordre national du Mérite (Chevalier)";"Ordine Nazionale al Merito (Cavaliere)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"Орден ""За заслуги"" (Кавалер)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"Орден ""За заслуги"" (Кавалер)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"Ordinul național de merit (Cavaler)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";;
"fr_merit_order_cavalier/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_liberation_order/name";"Order of Liberation";"Ordre de la Libération";"Ordine della Liberazione";"Order of Liberation";"Order of Liberation";"Орден Освобождения";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Орден Визволення";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Order of Liberation";"Ordinul eliberării";"Order of Liberation";"Order of Liberation";;
"fr_liberation_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_liberated_medal/name";"Medal of a liberated France";"Médaille de la France libérée";"Medaglia della Francia liberata";"Medal of a liberated France";"Medal of a liberated France";"Медаль Освобождённой Франции";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Медаль Звільненої Франції";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Medal of a liberated France";"Medalia Franței eliberate";"Medal of a liberated France";"Medal of a liberated France";;
"fr_liberated_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_legion_order_officer/name";"Legion of Honour (Officer)";"Légion d'honneur (Officier)";"Legione d'Onore (Ufficiale)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Орден Почётного легиона (Офицер)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Орден Почесного легіону (Офіцер)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"Legiunea de onoare (Ofițer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";;
"fr_legion_order_officer/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_legion_order_commander/name";"Legion of Honour (Commander)";"Légion d'honneur (Commandeur)";"Legione d'Onore (Comandante)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Орден Почётного легиона (Командор)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Орден Почесного легіону (Командор)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"Legiunea de onoare (Comandant)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";;
"fr_legion_order_commander/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_legion_order_cavalier/name";"Legion of Honour (Cavalier)";"Légion d'honneur (Chevalier)";"Legione d'Onore (Cavaliere)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Орден Почётного легиона (Кавалер)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Орден Почесного легіону (Кавалер)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"Legiunea de onoare (Cavaler)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";;
"fr_legion_order_cavalier/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_korea_medal/name";"Medal for UN operations in Korea";"Médaille française des opérations de l'ONU en Corée";"Medaglia per le operazioni dell'ONU in Corea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Медаль операций ООН в Корее";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Медаль операцій ООН в Кореї";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"Medalia pentru operațiunile N.U. din Coreea";"Medal for UN operations in Korea";"Medal for UN operations in Korea";;
"fr_korea_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_italian_medal/name";"Medal of the Italian campaign 1943-1944";"Médaille de la campagne d'Italie (1943-1944)";"Medaglia della campagna d'Italia 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Медаль Итальянской кампании 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Медаль Італійської кампанії 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"Medalia campaniei italiene 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";;
"fr_italian_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_indochina_medal/name";"Indochina Campaign medal";"Médaille de la campagne d'Indochine";"Medaglia della Campagna di Indocina";"Indochina Campaign medal";"Indochina Campaign medal";"Медаль кампании в Индокитае";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Медаль кампанії в Індокитаї";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Indochina Campaign medal";"Medalia campaniei din Indochina";"Indochina Campaign medal";"Indochina Campaign medal";;
"fr_indochina_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_foreign_theaters_cross/name";"Cross of foreign theaters of military operations";"Croix de guerre des Théâtres d'opérations extérieurs";"Croce dei teatri stranieri delle operazioni militari";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Крест иностранных театров боевых действий";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Хрест закордонних театрів бойових дій";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Crucea operațiunilor militare din teatrele străine ";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";;
"fr_foreign_theaters_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_fighter_cross/name";"The Cross Fighter";"Croix du combattant";"Croce dei Caccia";"The Cross Fighter";"The Cross Fighter";"Крест бойца";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"Хрест бійця";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"The Cross Fighter";"Crucea luptătorului";"The Cross Fighter";"The Cross Fighter";;
"fr_fighter_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_air_medal/name";"Aeronautical Medal";"Médaille de l'Aéronautique";"Medaglia Aeronautica";"Aeronautical Medal";"Aeronautical Medal";"Почётная медаль авиации";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Почесна медаль авіації";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Aeronautical Medal";"Medalia aeronautică";"Aeronautical Medal";"Aeronautical Medal";;
"fr_air_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_africa_medal/name";"North Africa Medal";"Médaille des opérations de sécurité et de maintien de l'ordre en Afrique du Nord";"Medaglia del Nord Africa";"North Africa Medal";"North Africa Medal";"Памятная медаль Северной Африки";"North Africa Medal";"North Africa Medal";"North Africa Medal";"North Africa Medal";"North Africa Medal";"North Africa Medal";"North Africa Medal";"Пам'ятна медаль Північної Африки";"North Africa Medal";"North Africa Medal";"North Africa Medal";"North Africa Medal";"Medalia Africii de Nord";"North Africa Medal";"North Africa Medal";;
"fr_africa_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_valor_medal/name";"Medal For Courage";"Médaille du Courage";"Medaglia al Coraggio";"Medal For Courage";"Medal For Courage";"Медаль За отвагу";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Медаль за відвагу";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Medal For Courage";"Medalia pentru curaj";"Medal For Courage";"Medal For Courage";;
"ussr_valor_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_ushakov_medal/name";"Medal of Ushakov";"Médaille d'Ousshakov";"Medaglia di Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Медаль Ушакова";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Медаль Ушакова";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Medal of Ushakov";"Medalia lui Ușakov";"Medal of Ushakov";"Medal of Ushakov";;
"ussr_ushakov_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_torpedoman_badge/name";"Badge Excellent of the torpedoman";"Insigne d'excellence (torpilleur)";"Distintivo del silurista eccellente";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Нагрудный знак Отличный торпедист";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Нагрудний знак Відмінний торпедист";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Insigna „Torpilor excelent”";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";;
"ussr_torpedoman_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_tanker_badge/name";"Badge Excellent tankman";"Insigne d'excellence (tankiste)";"Distintivo del carrista eccellente";"Badge Excellent tankman";"Badge Excellent tankman";"Нагрудный знак Отличный танкист";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Нагрудний знак Відмінний танкіст";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"Insigna „Tanchist excelent”";"Badge Excellent tankman";"Badge Excellent tankman";;
"ussr_tanker_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_tank_shooting_badge/name";"Badge For excellent shooting from tank weapons";"Badge Pour une excellente précision de tir en char";"Distintivo per tiri eccellenti con un carro";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Нагрудный знак За отличную стрельбу из танкового оружия";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Нагрудний знак За відмінну стрільбу з танкової зброї";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Insigna „Trăgător excelent cu armele tancului”";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";;
"ussr_tank_shooting_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_stalingrad_def_medal/name";"Medal For the Defence of Stalingrad";"Médaille pour la défense de Stalingrad";"Medaglia per la Difesa di Stalingrado";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Медаль За оборону Сталинграда";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Медаль За оборону Сталінграда";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"Medalia „Pentru apărarea Stalingradului”";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";;
"ussr_stalingrad_def_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_red_star_order/name";"Order of the red star";"Ordre de l'Étoile rouge";"Ordine della stella rossa";"Order of the red star";"Order of the red star";"Орден Красной Звезды";"Order of the red star";"Order of the red star";"Order of the red star";"Order of the red star";"Order of the red star";"Order of the red star";"Order of the red star";"Орден Червоної Зірки";"Order of the red star";"Order of the red star";"Order of the red star";"Order of the red star";"Ordinul Steaua Roșie";"Order of the red star";"Order of the red star";;
"ussr_red_star_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_red_banner_order/name";"Order of the Red Banner";"Ordre du Drapeau rouge";"Ordine della Bandiera Rossa";"Order of the Red Banner";"Order of the Red Banner";"Орден Красного Знамени";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Орден Червоного Прапора";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Order of the Red Banner";"Ordinul Steagului Roșu";"Order of the Red Banner";"Order of the Red Banner";;
"ussr_red_banner_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_patriotic_war_2_class/name";"Order of the Patriotic War Second class";"Ordre de la  guerre patriotique de 2e classe";"Orden Otechestvennoj vojny 2-j stepeni";"Orden des Großen Vaterländischen Krieges II. Klasse";"Orden de la Guerra Patria de 2ª clase";"Орден Отечественной войны 2 степени";"Order Wojny Ojczyźnianej II klasy";"Řád vlastenecké války 2. třídy";"2. Sınıf Vatansever Nişanı";"二\t级\t卫\t国\t战\t争\t勋\t章";"大祖国戦争二級勲章";"Orden Otechestvennoy voyny 1-y stepeni (Ordem da Guerra Patriótica de 2ª classe)";"Order of the Patriotic War Second class";"Орден Вітчизняної війни 2-го ступеня ";"Orden Patriotskog Rata 2. Klase";"Honvédő Háború Érdemrend II. fokozat";"2급 조국전쟁장(Орденом Отечественной войны II степени)";"Ордэн Айчыннай вайны II ступені";"Ordinul Războiului Patriotic clasa II";"二級衛國戰爭勳章";"二\t级\t卫\t国\t战\t争\t勋\t章";;
"ussr_patriotic_war_2_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_patriotic_war_1_class/name";"Order of the Patriotic War First class";"Ordre de la  guerre patriotique de 1re classe";"Orden Otechestvennoj vojny 1-j stepeni";"Orden des Großen Vaterländischen Krieges I. Klasse";"Orden de la Guerra Patria de 1ª clase";"Орден Отечественной войны 1 степени";"Order Wojny Ojczyźnianej I klasy";"Řád vlastenecké války 1. třídy";"1. Sınıf Vatansever Nişanı";"一\t级\t卫\t国\t战\t争\t勋\t章";"大祖国戦争一級勲章";"Orden Otechestvennoy voyny 1-y stepeni (Ordem da Guerra Patriótica de 1ª Classe)";"Order of the Patriotic War First class";"Орден Вітчизняної війни 1-го ступеня ";"Orden Patriotskog Rata 1. Klase";"Honvédő Háború Érdemrend I. fokozat";"1급 조국전쟁장(Орденом Отечественной войны I степени)";"Ордэн Айчыннай вайны I ступені";"Ordinul Războiului Patriotic clasa I";"一級衛國戰爭勳章";"一\t级\t卫\t国\t战\t争\t勋\t章";;
"ussr_patriotic_war_1_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_navy_badge/name";"Badge Excellent of the Navy";"Badge d'excellence de la Marine";"Distintivo eccellenza della Marina";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Нагрудный Знак Отличник ВМФ";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Нагрудний Знак Відмінник ВМФ";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Badge Excellent of the Navy";"Insigna „Marinar excelent”";"Badge Excellent of the Navy";"Badge Excellent of the Navy";;
"ussr_navy_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_nakhimov_medal/name";"Medal of Nakhimov";"Médaille de Nakhimov";"Medaglia di Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Медаль Нахимова";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Медаль Нахімова";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Medal of Nakhimov";"Medalia lui Nakimov";"Medal of Nakhimov";"Medal of Nakhimov";;
"ussr_nakhimov_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_moscow_def_medal/name";"Medal For the Defence of Moscow";"Médaille pour la défense de Moscou";"Medaglia per la Difesa di Mosca";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Меда́ль За оборону Москвы";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Медаль За оборону Москви";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";"Medalia „Pentru apărarea Moscovei”";"Medal For the Defence of Moscow";"Medal For the Defence of Moscow";;
"ussr_moscow_def_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
